"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
3970,33.61,1.1949,307.9,27.5
3970,42.29,1.3602,278.5,30.4
3970,50.98,1.5195,258.1,32.8
3970,58.53,1.6596,245.5,34.5
3970,66.91,1.8275,236.5,35.8
3970,76.55,2.0307,229.7,36.9
3970,84.12,2.1859,225.0,37.6
3970,93.09,2.3693,220.4,38.4
3970,102.95,2.5856,217.5,38.9
3970,110.70,2.7553,215.5,39.3
3970,117.57,2.9036,213.8,39.6
3970,128.79,3.1416,211.2,40.1
3970,134.25,3.2557,210.0,40.3
3970,141.12,3.3984,208.5,40.6
3970,146.99,3.5209,207.4,40.8
3970,153.55,3.6592,206.4,41.0
3970,159.87,3.7948,205.5,41.2
3970,164.44,3.8943,205.1,41.3
3970,168.56,3.9851,204.7,41.4
3970,172.58,4.0743,204.4,41.4
3970,177.26,4.1799,204.2,41.5
3970,181.55,4.2783,204.0,41.5
3970,185.17,4.3626,204.0,41.5
3970,189.91,4.4742,204.0,41.5
3970,193.48,4.5595,204.1,41.5
3970,198.36,4.6781,204.2,41.5
3970,207.98,4.9208,204.9,41.3
3970,215.22,5.1085,205.5,41.2
3970,218.00,5.1811,205.8,41.1
4138,18.39,0.9386,424.2,20.0
4138,33.61,1.2616,311.9,27.1
4138,42.29,1.4340,281.7,30.1
4138,50.98,1.6010,260.9,32.5
4138,58.53,1.7481,248.2,34.1
4138,66.91,1.9211,238.5,35.5
4138,76.55,2.1301,231.2,36.6
4138,84.12,2.2936,226.5,37.4
4138,93.09,2.4869,222.0,38.1
4138,102.95,2.7123,218.9,38.7
4138,110.70,2.8882,216.8,39.1
4138,117.57,3.0420,215.0,39.4
4138,128.79,3.2905,212.3,39.9
4138,134.25,3.4105,211.1,40.1
4138,141.12,3.5613,209.7,40.4
4138,146.99,3.6906,208.6,40.6
4138,153.55,3.8358,207.6,40.8
4138,159.87,3.9766,206.7,41.0
4138,164.44,4.0792,206.1,41.1
4138,168.56,4.1722,205.7,41.2
4138,172.58,4.2634,205.3,41.2
4138,177.26,4.3708,204.9,41.3
4138,181.55,4.4704,204.6,41.4
4138,185.17,4.5552,204.4,41.4
4138,189.91,4.6674,204.2,41.5
4138,193.48,4.7527,204.1,41.5
4138,198.36,4.8706,204.0,41.5
4138,207.98,5.1087,204.1,41.5
4138,215.22,5.2910,204.3,41.5
4138,218.00,5.3614,204.3,41.4
4300,18.39,0.9991,434.5,19.5
